Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Ubi1_1 Spectral Count	Ubi1_2 Spectral Count	Ubi1_3 Spectral Count	Ubi4_1 Spectral Count	Ubi4_2 Spectral Count	Ubi4_3 Spectral Count	Ubi6_1 Spectral Count	Ubi6_2 Spectral Count	Ubi6_3 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Ubi1_1 Unique Spectral Count	Ubi1_2 Unique Spectral Count	Ubi1_3 Unique Spectral Count	Ubi4_1 Unique Spectral Count	Ubi4_2 Unique Spectral Count	Ubi4_3 Unique Spectral Count	Ubi6_1 Unique Spectral Count	Ubi6_2 Unique Spectral Count	Ubi6_3 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Ubi1_1 Total Spectral Count	Ubi1_2 Total Spectral Count	Ubi1_3 Total Spectral Count	Ubi4_1 Total Spectral Count	Ubi4_2 Total Spectral Count	Ubi4_3 Total Spectral Count	Ubi6_1 Total Spectral Count	Ubi6_2 Total Spectral Count	Ubi6_3 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Ubi1_1 Intensity	Ubi1_2 Intensity	Ubi1_3 Intensity	Ubi4_1 Intensity	Ubi4_2 Intensity	Ubi4_3 Intensity	Ubi6_1 Intensity	Ubi6_2 Intensity	Ubi6_3 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Ubi1_1 MaxLFQ Intensity	Ubi1_2 MaxLFQ Intensity	Ubi1_3 MaxLFQ Intensity	Ubi4_1 MaxLFQ Intensity	Ubi4_2 MaxLFQ Intensity	Ubi4_3 MaxLFQ Intensity	Ubi6_1 MaxLFQ Intensity	Ubi6_2 MaxLFQ Intensity	Ubi6_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein 47	1.0	0.999	12	67	52	67	6	7	7	6	4	8	4	3	9	4	3	6	4	6	6	6	3	7	2	2	7	3	1	5	6	7	7	6	4	8	4	3	9	4	3	6	1.65766944E8	1.472556E8	1.85324176E8	2.38720816E8	1.96044496E8	1.43654912E8	2.21194624E8	1.2754076E8	2.41953312E8	2.04342576E8	1.3060448E8	2.0582168E8	6.0211116E7	6.1636348E7	5.8411376E7	6.5974892E7	5.6815772E7	6.1091032E7	9.5184096E7	9.56488E7	6.5854736E7	6.5426828E7	8.0641664E7	6.6845996E7	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	14	47	47	47	3	2	5	4	5	6	5	3	5	3	4	2	3	2	5	4	5	6	5	3	5	3	4	2	3	2	5	4	5	6	5	3	5	3	4	2	2.2786974E7	2.5972478E7	4.3880868E7	5.7341328E7	6.1897296E7	3.4753952E7	6.5181968E7	6.8530992E7	1.07498272E8	6.64868E7	3.4623752E7	1.9367426E7	1.7492894E7	1.3881085E7	1.2345294E7	2.171242E7	1.884713E7	1.6616629E7	2.303127E7	2.4807982E7	2.6879742E7	2.2997374E7	2.7051218E7	0.0	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	24	173	173	173	14	15	19	12	16	17	14	10	14	15	15	12	14	15	19	12	16	17	14	10	14	15	15	12	14	15	19	12	16	17	14	10	14	15	15	12	9.5494803E8	1.15974362E9	1.07717658E9	1.00465702E9	1.14205478E9	8.0911149E8	7.6393235E8	6.2382982E8	9.4675578E8	1.0890473E9	7.3361152E8	8.8583386E8	1.55518912E8	1.79365488E8	1.65204448E8	1.75555856E8	1.66757904E8	1.76382576E8	1.57247568E8	1.57609376E8	1.73415088E8	1.77079936E8	1.49468224E8	1.6879152E8	
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 19	0.9892	0.9976	2	3	3	3	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	5372213.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0JNW5|UH1BL_HUMAN	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	1464	Homo sapiens OX=9606	1:Experimental evidence at protein level	UHRF1-binding protein 1-like	1.0	0.9944	4	4	4	4	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0.0	0.0	0.0	0.0	2217648.5	3013009.8	0.0	5004416.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1.0	0.9987	4	7	7	7	1	1	0	0	0	1	1	0	2	1	0	0	1	1	0	0	0	1	1	0	2	1	0	0	1	1	0	0	0	1	1	0	2	1	0	0	5524691.5	7864247.5	0.0	0.0	7174223.0	0.0	1.94830864E8	0.0	1.82309792E8	2.2332144E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05145392E8	1.88052768E8	0.0	0.0	
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 223	1.0	0.9989	3	17	17	17	2	3	2	1	1	1	2	0	2	1	1	1	2	3	2	1	1	1	2	0	2	1	1	1	2	3	2	1	1	1	2	0	2	1	1	1	3.471794E7	4.3467456E7	2.965236E7	4.1390464E7	3.3530872E7	2.9554498E7	3.7714904E7	0.0	5.0455728E7	4.3562992E7	4.0859704E7	4.2863532E7	0.0	2.6054796E7	0.0	0.0	0.0	0.0	0.0	0.0	4.9390324E7	5.5692632E7	0.0	0.0	
sp|A0PK00|T120B_HUMAN	A0PK00	T120B_HUMAN	TMEM120B	339	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 120B	0.9141	0.9983	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	4047483.5	0.0	0.0	0.0	0.0	9717841.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	7	25	25	25	2	2	4	1	6	2	2	1	2	1	0	2	2	2	4	1	6	2	2	1	2	1	0	2	2	2	4	1	6	2	2	1	2	1	0	2	1.29832112E8	8486144.0	5.8853752E7	0.0	4.7107576E7	1.01072312E8	7.4206184E7	2.6391228E7	1.38401664E8	1.39527312E8	1.218112E8	6.0164728E7	6.1947896E7	0.0	7.1627E7	0.0	4.7586564E7	5.1569024E7	5.491652E7	0.0	4.614678E7	4.9626776E7	4.5803548E7	5.1729992E7	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	0.9488	0.999	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens OX=9606	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	0.9861	0.9989	1	5	5	5	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0.0	0.0	4816490.5	4898981.0	3623075.2	3614722.8	0.0	3198039.0	6591247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	Homo sapiens OX=9606	1:Experimental evidence at protein level	DENN domain-containing protein 3	0.9783	0.9969	2	2	2	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2.9256504E7	0.0	2.1528376E7	1.6971084E7	1.7695842E7	2.0803676E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1.0	0.999	20	88	88	88	11	11	9	3	8	10	5	5	4	6	8	8	11	11	9	3	8	10	5	5	4	6	8	8	11	11	9	3	8	10	5	5	4	6	8	8	6.9178672E7	1.19346392E8	2.4226112E7	5.1477692E7	5.9020296E7	5.7176784E7	1.0795044E8	9.0733352E7	7.683704E7	6.8740112E7	1.61665312E8	1.31322304E8	1.761582E7	2.3070316E7	1.7123618E7	2.950005E7	2.33111E7	1.4487002E7	3.2759416E7	2.6729984E7	2.3212896E7	2.4498508E7	3.238645E7	3.6801908E7	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 10	1.0	0.999	7	32	32	32	2	2	5	2	3	3	3	1	3	4	1	3	2	2	5	2	3	3	3	1	3	4	1	3	2	2	5	2	3	3	3	1	3	4	1	3	1.3523824E7	6545977.5	2.7083958E7	3.4554684E7	1.7310946E7	2.4963282E7	8.038368E7	3.546274E7	3.0101992E7	1.5886308E7	5643618.5	5.2496348E7	9233568.0	4224890.5	7103914.5	2.6743052E7	6749084.0	1.925121E7	3.6458164E7	0.0	2.6905368E7	1.1962949E7	0.0	2.0764874E7	
sp|A4FU01|MTMRB_HUMAN	A4FU01	MTMRB_HUMAN	MTMR11	709	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Myotubularin-related protein 11	0.861	0.997	1	5	5	5	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1.03054688E8	9.6336416E7	8.8299536E7	1.3377396E8	1.05134232E8	1.61460304E8	9.3560064E7	1.24862224E8	9.5299872E7	9.9801968E7	1.6391144E7	1.03195904E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5PLL7|PDES1_HUMAN	A5PLL7	PDES1_HUMAN	PEDS1	270	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plasmanylethanolamine desaturase	0.9459	0.9989	1	8	8	8	1	1	1	0	1	2	1	0	1	0	0	0	1	1	1	0	1	2	1	0	1	0	0	0	1	1	1	0	1	2	1	0	1	0	0	0	3408787.8	2932055.5	6387532.0	0.0	2482416.0	4514916.5	4326801.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	18	41	41	41	2	4	7	2	3	7	2	3	3	3	2	3	2	4	7	2	3	7	2	3	3	3	2	3	2	4	7	2	3	7	2	3	3	3	2	3	5.8213784E7	9.5147384E7	1.20562424E8	1.47284864E8	6.759648E7	5.3189852E7	1.53323344E8	1.5284288E8	1.05606304E8	7.0242768E7	1.44981888E8	1.66339408E8	9.011024E7	7.5944984E7	7.4508136E7	8.9510968E7	3.1946002E7	5.1298544E7	7.2335456E7	1.13863952E8	6.6613264E7	9.769112E7	6.9908336E7	1.11501096E8	
sp|A6ND36|FA83G_HUMAN	A6ND36	FA83G_HUMAN	FAM83G	823	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM83G	1.0	0.999	10	72	72	72	5	10	9	4	4	4	4	4	8	5	6	9	5	10	9	4	4	4	4	4	8	5	6	9	5	10	9	4	4	4	4	4	8	5	6	9	1.28865048E8	2.50296672E8	2.130884E8	2.19355584E8	1.88471936E8	2.17445488E8	1.55860144E8	1.76010752E8	1.93025952E8	1.75932304E8	1.33902464E8	1.19278192E8	7.1654024E7	9.2658328E7	9.8335672E7	1.0487904E8	8.7163648E7	8.0718288E7	8.7440616E7	8.7149312E7	8.8182528E7	8.3540752E7	8.8203264E7	6.5300312E7	
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0	0.999	14	133	133	133	11	16	15	12	11	10	5	12	11	9	9	12	11	16	15	12	11	10	5	12	11	9	9	12	11	16	15	12	11	10	5	12	11	9	9	12	1.20200614E9	1.18324851E9	9.4011456E8	1.29108992E9	7.83368E8	9.0724173E8	1.36520422E9	1.30633011E9	1.48801766E9	1.20217907E9	1.11291072E9	1.0643511E9	2.74105984E8	2.6745304E8	2.65549264E8	2.75202976E8	2.4436E8	2.59750464E8	4.03236576E8	3.44904096E8	3.63835072E8	3.276904E8	2.98120832E8	2.87252064E8	
sp|A6NDR6|ME3L1_HUMAN	A6NDR6	ME3L1_HUMAN	MEIS3P1	274	Homo sapiens OX=9606	5:Protein uncertain	Putative homeobox protein Meis3-like 1	0.9999	0.9978	6	2	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.404368E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q99687|MEIS3_HUMAN
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	RAB7A-interacting MON1-CCZ1 complex subunit 1	0.9897	0.9946	2	2	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0.0	1.3636949E7	1.1869075E7	0.0	0.0	8924576.0	0.0	0.0	1.5675889E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0	0.999	10	43	43	43	4	4	1	4	7	6	2	2	3	5	1	4	4	4	1	4	7	6	2	2	3	5	1	4	4	4	1	4	7	6	2	2	3	5	1	4	2.3337112E7	1.7879212E7	4896320.5	4.3259208E7	3.6663076E7	4.166504E7	4.4399032E7	3.1236324E7	3.8109664E7	5.8464036E7	3.78852E7	7.444556E7	1.7717584E7	2.0758248E7	0.0	1.9516798E7	1.2904564E7	1.6869666E7	1.992144E7	1.9131484E7	1.7730778E7	1.3707652E7	1.7555602E7	2.2802302E7	
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens OX=9606	1:Experimental evidence at protein level	12S rRNA N4-methylcytidine (m4C) methyltransferase	1.0	0.999	4	17	17	17	1	1	3	2	1	1	1	2	2	1	2	0	1	1	3	2	1	1	1	2	2	1	2	0	1	1	3	2	1	1	1	2	2	1	2	0	1.768422E7	0.0	1.467411E7	1.4652501E7	5373830.0	0.0	1.17462744E8	0.0	6.3903736E7	2947270.0	0.0	0.0	0.0	0.0	2.3122236E7	0.0	0.0	0.0	4.1778468E7	0.0	0.0	0.0	0.0	0.0	
sp|A6NKD9|CC85C_HUMAN	A6NKD9	CC85C_HUMAN	CCDC85C	419	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 85C	1.0	0.999	11	65	65	65	7	8	6	5	7	10	4	4	6	5	1	2	7	8	6	5	7	10	4	4	6	5	1	2	7	8	6	5	7	10	4	4	6	5	1	2	1.67918256E8	1.37525984E8	1.50490768E8	8.9451888E7	1.26500496E8	1.12649824E8	9.4974016E7	5.2660088E7	1.21838384E8	9.7015536E7	4.4909424E7	3.5667168E7	3.83741E7	3.4140576E7	4.1848764E7	3.3628872E7	3.5842804E7	4.4265464E7	3.1421596E7	2.8894258E7	4.1153588E7	3.3934268E7	2.6682614E7	3.1424798E7	
sp|A6NKF1|SAC31_HUMAN	A6NKF1	SAC31_HUMAN	SAC3D1	404	Homo sapiens OX=9606	1:Experimental evidence at protein level	SAC3 domain-containing protein 1	1.0	0.9989	3	5	5	5	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1.61317E7	2.444864E7	1.0490848E8	0.0	0.0	0.0	0.0	0.0	1.5367637E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
